Thaksin Shinawatra
Potjaman Shinawatra
General Panlop Pinmanee
Chamlong Srimuang
Samak Sundaravej
General Chavalit
Anand Panyarachun
General Prem Tinsulanonda
Chaiyasit Shinawatra
Sondhi Limthongkul
Viroj Nualkhair
Pramuan Ruajanaseri
Somsak Kosaisuk
Somkeit Pongpaibul
Pipob Thongchai
General Pramoj Pathumwong
General Surayudh Chulanont
Professor Giles Ungpakorn
Chotisak Onsung
Nuamthong Paiwan
Veera Musikapong
Dr. Weng Tojirakan
Prateep Unsongtham Hata
Chanapath Na Nakhorn
Waranchai Chokchana
Somyos Phrueksakasemsuk
Shinawat Haboonpad
Manit Jichanklab
Professor Jaran Ditapichai
Sombat Boonngamanong
"""October Generation"""
Daranee Chancherngsilpakul
Boonyuen Prasertying
Suchart Narkbangsai
Angkhana Radappanyawut
Noppadon Pattama
Kwanchai Paipanna
North & Northeast Rural Villages
PAD Supporters
Rosana Tositrakul
General Pathompong Kesornsook
Mrs. General Kesornsook
Abhisit Vejjajiva
Khunying Kalaya Soponpanit
Prapan Kunmee
Nirmal Gosh
Dan Ten Kate
Narongsak Krobthaisong
Somchai Wongsawat
Yaowapa Wongsawat
Major-General Khattiya Sawasdipol
Princess Galyani Vadhana
Chaiwat Sinsuwong
Lieutenant Colonel Methee Chatmontri
Queen
Princess Chulabhorn
Army Chief General Anupong Paochinda
Princess Sirindhorn
Salang Bunnag
Pae Klong Toey
Newin Chidchob
Jenkij Klubsakhon
Patcharawat Wongsuwan
Suriyasai Katasila
Army
General Saprang
Korn Chatikavanij
Natthawut Saikua
Suthep Thaugsuban
Weng Tojirakarn
MP Prajak Kaewklaharn
Sabina Zar
Somkiet Pongpaiboon
Kraisak Choonhavan
Kasit Piromya
Soratin Pinmanmenkin
Nattawut Saikua
Jakrapop Penkair
Harry Nicolaides
Boonyeun Prasertying
Jonathan Head
Anonymous Police Officer
Chaturon Chaisaeng
