Key Players,Details
"""October Generation""","Former student activists who suffered under Samak in the 1970s, including many members of the TRT"
Abhisit Vejjajiva,Arrived at Government House camp with Kalaya
Abhisit Vejjajiva,Potentially incited PAD uprising at Government House camp?
Abhisit Vejjajiva,Attended Angkhana Radappanyawut's and Lieutenant Colonel Methee Chatmontri's funerals
Abhisit Vejjajiva,"When he called for the dissolution of the Parliament (under PPP), his only aim seemed to be becoming Prime Minister once the opportunity presented itself"
Abhisit Vejjajiva,Welcomed the support of PPP defector Newin Chidchop and his group of MPs
Abhisit Vejjajiva,"Elected as Prime Minister on Dec 15th, 2008 with help of TRT/PPP defectors, ""Friends of Newin"", and Puah Pandin Party"
Anand Panyarachun,Headed the National Reconciliation Commission
Anand Panyarachun,His network supported the PAD
Anand Panyarachun,Attended Lieutenant Colonel Methee Chatmontri's funeral after Black Tuesday
Angkhana Radappanyawut,"Died on Black Tuesday, one of two PAD protester casualties, from a teargas grenade, at 28"
Angkhana Radappanyawut,"Her death as an ""innocent protester"" created a cult martyrdom following"
Angkhana Radappanyawut,"Autopsy indicated death by direct hit of teargas grenade, but a report in Feb 2009 stated traces of C-4 on her shirt and bra, and only teargas on her pants: suicide bombing?"
Angkhana Radappanyawut,"Suchart Narkbangsai's speech was in October, 2008 after Nong Bow's funeral"
Anonymous Police Officer,"Filed lèse-majesté charges against Jonathan Head and Jakrapop Penkair, over events in the Foreign Correspondence Club"
Anonymous Police Officer,"Allegedly close to high-ranking members of Democrat Party, meaning the party may have had a hand in the cases"
Army,Denied involvement with PAD during airport occupation
Army Chief General Anupong Paochinda,Attended Angkhana Radappanyawut's funeral
Army Chief General Anupong Paochinda,Did not enforce the decree of Emergency Rule PM Samak issued after clashes at Makhawan on Sep 2
Army Chief General Anupong Paochinda,"Recommended the dissolution of parliament on November 26th, and end to PAD protests - 3 parties dissolved, after which he was seen consulting with politicians on December 5th"
Boonyeun Prasertying,"Speaker on Sanam Luang stage, jailed for 6 years for lèse-majesté"
Boonyuen Prasertying,Also made speeches on the Sanam Luang Voice
Boonyuen Prasertying,"Sentenced on Nov 6 to 12 years in prison, reduced to 6 after confession"
Chaiwat Sinsuwong,"Arrested at an expressway tollgate on Oct 3rd, 2008, right before Chamlong Srimuang on the 5th"
Chaiyasit Shinawatra,"Dubious appointment, Thaksin's cousin"
Chamlong Srimuang,"Brought Thaksin into politics, then broke with him and joined PAD, citing controversial sale of Shincorp"
Chamlong Srimuang,Accused Thaksin of using state television to attak Prem Tinsulanonda through Samak Sundarevej
Chamlong Srimuang,Leader of the protest against the 1991 coup that culminated in the 1992 massacre
Chamlong Srimuang,"Implicated for organizing right wing movements responsible for the massacre of students on Oct. 6, 1976"
Chamlong Srimuang,"Member of Santi Asoke, controversial Fundamentalist Buddhist sect"
Chamlong Srimuang,"Adherent of Ahingsa, non-violence"
Chamlong Srimuang,"Arrested on Oct 5th, 2008 at a polling station for the election of the Bangkok Governor"
Chamlong Srimuang,Also arrested shortly before the May Massacre of 1992
Chamlong Srimuang,"As per promise that all would end before Dec 5th, 2008, the King's Birthday, he called for a retreat from all occupied spaces by PAD after victory was declared"
Chamlong Srimuang,"Supporter of Thaksin during TRT's dallying in consolidation of power, drug war killings, and silencing of opposition"
Chanapath Na Nakhorn,Exposed as a spy for the military
Chaturon Chaisaeng,Thaksin's chosen candidate for 2010 election
Chotisak Onsung,"26-year old member of ""19 September"" who did not stand up for the Royal anthem at a movie theater with a friend, both were physically and verbally attacked"
Chotisak Onsung,Both had lèse-majesté charges filed against them after trying to file charges against their attacker
Chotisak Onsung,PAD forced him into hiding
Dan Ten Kate,With Nick Nostitz
Daranee Chancherngsilpakul,Arrested for lèse-majesté for a speech on the Sanam Luang Voice publicized by the PAD
Dr. Weng Tojirakan,Former student activist
Dr. Weng Tojirakan,"Ally of PAD briefly, then split with them"
General Panlop Pinmanee,"Cold war veteran, led death squads that killed socialists and communists"
General Panlop Pinmanee,"Longtime friend of Chamlong Srimuang, opponent of Thaksin"
